"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,9,0,0,0,17,0,11,0,0,0,34,12,35,F
0,7,8,0,0,13,0,11,0,0,0,26,10,24,F
0,33,36,0,0,71,0,26,3,0,12,80,34,88,F
0,4,0,0,0,11,0,8,0,0,1,15,7,17,F
0,2,0,0,0,8,0,1,0,0,0,71,0,1,F
0,3,0,0,0,13,0,7,0,0,0,15,7,17,F
0,5,0,0,0,12,0,13,0,0,1,19,8,30,F
0,2,0,0,0,8,0,1,0,0,0,15,7,7,F
0,29,0,0,0,43,0,48,2,0,1,65,37,137,F
2,28,0,0,0,34,0,42,11,0,5,78,32,95,F
0,23,0,0,0,30,0,36,11,0,4,74,30,80,F
0,25,0,0,0,33,0,37,9,0,7,65,21,89,F
0,1,0,0,0,10,0,0,0,0,0,10,3,12,F
0,3,0,0,0,11,0,11,0,0,5,15,11,10,F
0,5,0,0,0,13,0,4,0,0,4,20,8,23,F
0,2,1,0,0,14,0,12,0,0,2,10,5,20,F
0,13,0,0,0,14,0,21,0,0,0,23,13,47,F
0,5,0,0,0,13,0,6,0,0,0,18,5,21,F
0,1,0,0,0,4,0,0,0,0,0,6,3,6,F
0,8,0,0,0,10,0,12,1,0,0,11,5,39,F
0,5,0,0,0,6,0,2,5,0,1,8,4,18,F
0,10,0,0,0,26,0,18,2,0,6,63,14,77,F
0,1,0,0,0,8,0,1,1,0,3,10,1,3,F
1,8,1,0,0,14,0,14,0,0,5,27,6,51,F
0,20,0,0,0,38,0,46,0,0,10,81,28,83,F
0,1,0,0,0,9,0,5,0,0,1,30,3,11,F
1,49,8,0,0,25,0,26,0,0,1,51,19,87,F
0,6,0,0,0,8,0,6,0,0,4,28,7,14,F
0,1,0,0,0,4,0,2,1,0,2,4,3,5,F
0,1,0,0,0,5,0,0,1,0,0,12,4,9,F
0,4,0,0,0,6,0,3,0,0,0,6,3,10,F
3,3,0,0,0,6,0,2,5,0,6,19,4,14,F
0,11,3,0,0,20,0,15,0,0,1,37,21,36,F
0,11,1,0,0,8,0,16,2,0,1,23,11,39,F
0,1,0,0,0,5,0,0,0,0,4,15,4,9,F
2,8,0,0,0,8,0,16,0,0,1,48,7,70,F
0,2,0,0,0,2,0,1,0,0,0,10,3,7,F
0,2,0,0,0,3,0,1,0,0,3,13,4,6,F
1,11,0,0,2,16,0,9,0,0,0,63,30,36,F
0,2,0,0,0,2,0,1,0,0,0,4,5,8,F
0,3,0,0,0,2,0,2,0,0,0,14,7,12,F
0,28,1,1,1,16,0,14,1,0,1,29,23,78,F
0,7,0,0,0,9,0,4,1,0,1,12,9,18,F
0,4,0,0,0,3,0,3,1,0,1,15,7,23,F
0,4,0,0,0,3,0,3,1,0,1,16,7,23,F
1,11,0,0,0,7,0,6,0,0,3,30,12,22,F
0,8,16,0,0,15,0,11,0,0,0,27,7,27,F
0,17,0,0,0,13,0,16,1,0,0,25,19,65,F
0,9,1,0,0,9,0,6,2,0,0,8,6,18,F
0,23,0,0,0,34,0,12,3,0,16,68,41,81,F
0,5,0,0,0,5,0,2,0,0,0,18,10,17,F
0,4,0,0,0,2,0,6,0,0,1,19,5,18,F
0,25,44,0,0,28,0,16,2,0,1,62,35,57,F
0,24,35,0,0,20,0,16,2,0,0,59,34,39,F
0,2,0,0,0,3,0,0,0,0,0,4,3,10,F
0,13,0,0,0,23,0,8,1,0,1,16,12,25,F
0,17,0,0,0,25,0,15,0,0,1,42,20,31,F
0,17,0,0,0,18,0,12,1,0,5,49,18,46,F
0,2,0,0,0,6,0,3,1,0,1,3,3,5,F
0,45,4,0,0,41,0,33,0,0,8,89,47,140,F
6,48,0,1,0,76,0,58,8,0,8,101,64,231,F
0,13,1,0,0,10,0,12,0,0,1,20,8,40,F
0,16,6,0,0,7,0,16,2,0,1,30,9,23,F
0,18,0,0,0,13,0,8,2,0,2,45,22,34,F
0,5,0,0,0,11,0,4,1,0,2,17,11,15,F
0,7,0,0,0,10,0,4,2,0,3,9,4,22,F
0,5,0,0,0,8,0,3,0,0,1,19,8,19,F
0,2,0,0,0,26,0,0,0,0,2,8,8,3,F
0,5,0,0,0,5,0,3,0,0,1,8,3,13,F
0,7,0,0,0,13,0,5,1,0,3,23,10,19,F
0,8,0,1,0,7,0,4,0,0,4,24,11,15,F
0,6,0,0,0,6,0,3,3,0,0,7,13,10,F
0,21,1,0,0,37,0,16,0,0,8,87,20,88,F
0,34,6,0,1,54,0,24,0,0,19,124,33,115,F
1,6,0,0,0,32,0,1,0,0,0,36,21,22,F
0,27,0,0,0,67,0,16,0,0,1,92,58,109,F
0,10,0,0,0,12,0,7,0,0,2,11,12,21,F
0,13,0,0,0,22,0,11,1,0,1,29,13,27,F
0,2,0,0,0,3,0,1,0,0,1,17,3,10,F
0,4,0,2,0,12,0,1,0,0,0,16,9,16,F
0,3,0,0,0,7,0,3,0,0,0,7,4,4,F
0,5,0,0,0,14,0,10,0,0,1,17,9,21,F
0,11,0,0,0,23,0,15,7,0,5,18,12,56,F
1,58,0,0,0,69,0,65,4,0,11,58,61,145,F
0,10,0,0,0,8,0,9,1,0,1,11,7,23,F
5,364,8,1,1,195,1,432,36,0,137,772,420,837,F
0,2,0,0,1,10,0,2,0,0,2,8,5,11,F
0,2,0,0,0,2,0,1,0,0,1,3,8,3,F
0,14,0,0,0,21,0,9,0,0,2,27,28,21,F
0,2,0,0,0,4,0,0,0,0,0,2,6,3,F
0,34,9,0,0,73,0,65,8,0,6,44,24,129,F
