"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,0,2,6,5,11,0,0,0,0,0,0,0,0,H
0,0,2,6,5,11,0,0,0,0,0,0,0,0,H
0,0,2,6,5,20,0,0,0,0,1,0,0,1,H
0,0,8,6,4,11,0,0,0,0,2,8,0,12,H
0,1,2,6,4,9,0,2,0,0,0,3,0,3,H
1,4,12,9,22,4,0,4,0,0,2,10,0,24,H
0,3,11,4,19,4,0,4,0,0,3,8,0,12,H
1,4,12,9,22,4,0,4,0,0,2,10,0,24,H
0,0,12,7,18,9,0,0,0,0,2,8,0,42,H
0,3,11,4,20,4,0,4,0,0,3,8,0,13,H
0,0,9,6,14,4,0,0,0,0,0,22,0,6,H
0,1,10,7,13,4,1,0,0,0,0,23,1,9,H
0,1,10,7,11,4,1,1,0,0,2,24,0,8,H
0,1,8,6,12,4,1,0,0,0,0,23,0,7,H
0,0,8,2,8,4,0,3,0,0,4,8,6,6,H
0,0,13,6,24,18,0,0,0,0,1,7,0,62,H
0,1,12,8,15,6,0,0,0,0,1,11,0,39,H
0,0,13,8,16,9,0,0,0,0,1,11,0,41,H
0,3,14,6,11,10,0,0,0,0,1,9,1,31,H
0,0,12,6,13,8,0,0,0,0,2,8,0,40,H
0,0,13,6,21,7,0,0,0,0,1,8,0,31,H
0,0,12,7,15,10,0,0,0,0,2,8,0,42,H
1,0,12,7,19,9,0,0,0,0,2,8,0,56,H
0,0,12,7,15,10,0,0,0,0,2,8,0,42,H
1,0,12,7,17,10,0,0,0,0,2,8,0,56,H
1,0,12,7,16,12,0,0,0,0,2,8,0,67,H
0,0,13,6,22,17,0,0,0,0,1,8,0,66,H
0,0,5,6,30,20,0,0,0,0,1,1,0,47,H
0,0,12,6,16,12,0,0,0,0,1,8,0,52,H
0,0,12,6,16,12,0,0,0,0,1,8,0,53,H
0,0,13,6,21,15,0,0,0,0,1,8,0,69,H
0,1,4,6,34,22,0,1,0,0,0,1,0,30,H
0,0,12,6,20,12,0,0,0,0,1,8,0,64,H
0,1,4,6,34,23,0,1,0,0,0,1,0,30,H
0,0,2,8,10,14,0,0,0,0,0,1,0,10,H
0,0,4,7,15,14,0,0,0,0,0,1,0,26,H
0,1,12,7,19,17,0,0,0,0,1,9,0,65,H
0,3,9,5,25,1,0,0,0,0,1,26,0,18,H
0,1,2,0,2,4,0,0,0,0,0,2,0,18,H
0,7,12,1,0,3,4,8,0,0,0,0,3,21,H
0,23,21,1,16,10,0,21,0,0,1,19,20,97,H
0,6,5,1,0,7,2,5,0,0,0,3,1,8,H
0,6,3,1,0,12,0,7,0,0,2,5,10,55,H
0,0,2,1,0,7,0,1,0,0,1,0,1,8,H
0,24,0,0,1,34,0,2,0,0,0,0,0,2,H
0,14,16,15,18,4,1,8,0,0,9,16,0,43,H
0,219,0,0,1,1296,0,323,0,0,143,185,71,756,H
0,1,20,0,0,35,0,26,0,0,1,33,19,102,H
0,0,12,0,0,18,0,17,0,0,0,12,14,53,H
0,2,6,1,0,14,0,1,0,0,2,48,9,27,H
1,138,0,0,111,45,0,81,7,0,5,134,1,356,H
0,67,1,0,21,12,0,53,4,0,0,31,2,125,H
0,2,0,0,3,10,0,1,0,0,0,6,5,0,H
0,2,0,0,3,8,0,1,0,0,0,5,2,6,H
0,17,0,1,16,20,0,5,0,0,0,10,5,12,H
0,9,0,0,18,15,0,3,1,0,1,14,6,11,H
0,1,11,0,10,4,5,5,0,0,18,14,3,15,H
1,3,108,20,217,5,3,84,0,0,4,119,20,222,H
0,1,20,12,27,1,0,15,0,0,2,29,9,71,H
0,0,2,15,58,2,0,1,0,0,0,0,0,2,H
