"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,0,97,0,159,17,0,208,13,0,2,78,64,447,A
0,3,18,1,7,6,0,18,5,0,2,141,13,125,A
7,6,246,0,258,74,0,312,13,0,0,211,235,734,A
0,3,33,0,7,12,0,30,0,0,0,45,34,97,A
0,0,373,2,525,81,0,564,33,2,4,304,199,1482,A
0,0,514,0,964,120,0,770,51,1,0,747,338,2014,A
0,0,346,0,833,45,0,461,26,1,0,402,175,1609,A
0,4,618,1,499,234,0,728,43,0,1,387,324,2034,A
1,0,335,1,441,100,0,498,37,0,1,242,159,1373,A
2,91,1610,0,898,171,0,548,667,0,130,1057,170,1538,A
0,11,573,3,409,133,0,778,25,0,4,689,416,2233,A
1,15,27,0,97,13,4,57,5,0,28,24,30,91,A
0,0,130,0,11,29,0,111,7,0,0,180,85,341,A
0,0,82,0,192,14,0,149,4,0,3,45,21,359,A
2,0,175,0,187,66,0,302,1,0,0,104,29,574,A
0,1,137,0,54,33,0,196,16,0,0,156,102,557,A
0,0,80,0,42,34,0,86,18,0,0,73,63,312,A
0,0,124,0,94,28,0,157,4,0,1,105,63,421,A
0,0,79,1,106,37,0,107,9,0,0,50,19,268,A
0,1,297,0,284,86,0,434,18,1,1,276,133,1198,A
0,1,38,0,14,6,0,61,0,0,4,32,15,99,A
0,16,207,0,109,26,0,224,20,0,2,90,89,517,A
0,0,434,0,382,113,0,592,36,2,0,332,267,1590,A
0,0,56,0,31,2030,0,66,14,1,0,26,19,194,A
8,14,632,1,559,168,14,890,6,1,0,761,550,2180,A
0,2,267,0,292,22,1,311,18,0,2,314,198,1097,A
2,0,72,0,43,17,0,82,5,0,0,68,66,222,A
0,0,103,0,49,22,0,157,2,0,0,97,66,315,A
14,5,286,0,348,42,0,426,23,0,2,266,162,1136,A
0,0,7,0,3,5,0,13,0,0,0,3,7,23,A
0,1,72,0,64,24,0,69,8,0,0,59,33,205,A
0,2,521,0,670,171,0,758,22,0,1,461,268,1939,A
0,0,2,1,3,2,0,3,0,0,0,1,8,7,A
0,21,10,0,11,1,32,1,0,0,0,18,15,97,A
0,14,51,0,48,8,24,1,0,0,8,21,6,32,A
0,5,4,0,0,1,13,1,0,0,5,17,5,45,A
0,35,8,0,21,10,54,0,0,0,4,25,10,138,A
0,29,43,0,53,10,32,10,0,0,6,121,28,159,A
0,61,48,0,25,27,117,8,0,0,8,139,77,391,A
0,97,52,0,143,16,210,11,8,0,27,278,66,708,A
0,58,290,4,11,18,1,12,3,0,0,345,6,71,A
0,17,27,0,10,10,30,3,0,0,0,65,32,122,A
0,88,31,0,38,1,164,4,3,0,28,159,55,221,A
0,0,8,0,0,1,0,8,0,0,0,3,3,9,A
0,0,1,0,0,6,0,1,0,0,1,3,8,3,A
0,79,13,2,19,53,0,122,2,0,0,104,58,398,A
0,27,6,1,6,11,0,47,4,0,1,57,27,143,A
0,19,8,1,6,4,2,38,3,0,0,66,20,126,A
0,21,10,1,15,12,4,37,1,0,0,53,29,111,A
0,37,0,1,0,8,0,51,4,6,0,67,48,206,A
0,40,6,1,5,6,0,61,3,5,1,40,32,197,A
0,0,63,0,0,39,0,154,16,0,47,89,23,298,A
0,11,0,2,0,35,0,17,5,0,0,15,13,24,B
0,13,0,0,0,43,0,12,0,0,1,24,12,20,B
0,10,0,1,0,38,0,10,0,0,2,14,9,14,B
0,53,2,1,0,26,0,60,7,0,8,58,42,108,B
1,60,2,1,0,58,0,94,9,0,12,87,40,155,B
0,114,2,1,0,79,0,158,22,0,18,142,66,357,B
1,40,15,1,0,46,0,67,4,0,8,77,47,125,B
0,35,1,0,0,72,0,39,5,0,3,44,48,75,B
0,2,0,0,0,0,0,0,0,0,0,1,1,0,B
0,2,0,0,0,0,0,0,0,0,0,1,1,0,B
0,3,0,0,0,0,0,1,0,0,0,1,2,2,B
0,1,0,0,0,0,0,0,1,0,0,3,3,4,B
0,1,0,0,0,1,0,1,0,0,0,0,3,1,B
0,1,0,0,0,0,0,0,0,0,1,0,2,0,B
0,1,0,0,0,0,0,0,0,0,0,0,1,0,B
0,1,0,0,0,0,0,0,0,0,0,0,1,0,B
0,1,0,0,0,0,0,0,0,0,0,0,1,1,B
0,1,0,0,0,0,0,0,0,0,0,3,2,0,B
0,1,0,0,0,0,0,0,0,0,0,0,1,0,B
0,2,0,0,0,0,0,0,0,0,0,1,1,0,B
0,2,0,0,0,0,0,0,0,0,0,1,1,0,B
0,6,0,0,0,2,0,5,0,0,5,8,5,11,B
0,8,0,0,0,1,0,8,0,0,1,7,7,12,B
0,20,10,1,0,39,0,25,0,0,7,41,15,115,B
0,260,78,5,0,287,4,217,15,4,207,485,18,834,B
0,85,60,3,0,225,1,136,7,0,70,257,10,484,B
0,102,64,3,0,193,3,136,22,2,77,283,6,638,B
0,15,1,0,0,10,0,24,0,0,10,17,11,58,B
0,15,0,0,0,6,0,20,0,0,0,17,18,40,B
0,87,0,0,0,105,0,68,2,0,41,249,101,422,B
0,2,1,1,0,5,0,1,0,0,0,67,2,6,B
0,7,0,0,0,13,0,8,0,0,1,16,18,24,B
0,7,0,2,15,4,0,3,0,0,8,4,5,12,B
0,9,0,0,0,6,0,10,1,0,3,3,5,29,B
0,68,11,2,0,15,0,40,9,0,6,117,41,239,B
3,251,1,1,0,273,1,275,7,0,24,372,221,474,B
0,159,3,0,0,138,0,116,25,0,2,221,233,279,B
0,37,0,0,0,64,0,39,0,0,2,72,45,79,B
0,86,60,0,1,70,0,57,4,0,3,71,92,126,B
0,8,0,0,0,4,0,1,0,0,0,3,8,10,B
0,5,0,0,0,13,0,5,0,0,1,14,7,7,B
0,350,6,1,1,506,0,410,27,0,48,592,316,784,B
1,26,2,0,0,40,0,23,0,0,0,65,33,56,B
0,34,9,0,0,19,0,51,8,1,2,42,35,60,B
1,256,6,2,1,397,0,301,17,0,35,422,381,533,B
7,191,220,1,0,156,0,217,16,1,52,341,231,387,B
0,36,0,0,0,36,0,28,0,0,0,50,49,62,B
0,19,0,0,0,5,0,4,0,0,1,15,28,23,B
0,22,8,0,0,5,0,26,0,0,0,8,32,29,B
0,34,75,0,0,36,0,13,0,0,5,64,17,51,B
0,18,0,0,0,5,0,9,2,0,1,26,30,42,B
1,34,2,0,0,52,0,34,0,0,1,72,33,38,B
