"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,67,0,0,0,91,0,58,5,1,15,87,25,139,K
0,2,0,0,0,50,0,0,0,0,3,47,2,0,K
0,39,14,0,0,44,0,21,2,0,14,53,34,57,K
5,213,2,1,0,292,1,108,1,0,11,340,161,342,K
0,20,1,0,0,52,0,9,0,0,2,51,33,109,K
0,17,0,0,0,28,0,14,3,0,4,34,20,66,K
0,180,18,0,0,216,0,158,32,1,44,306,125,507,K
1,81,1,0,0,122,0,76,1,1,22,107,51,189,K
0,42,9,0,0,71,0,39,4,0,22,115,19,77,K
0,16,0,0,0,18,0,11,0,0,3,36,15,13,K
0,51,0,0,0,147,0,59,2,1,14,105,50,130,K
1,4,37,0,0,20,0,65,8,0,160,68,7,4,K
0,24,0,0,0,8,0,22,0,0,5,67,27,80,K
0,29,7,0,0,43,0,29,2,0,0,41,21,102,K
1,176,1,1,1,222,1,137,2,0,32,213,92,426,K
0,8,0,0,0,9,0,6,0,0,0,6,7,24,K
0,103,0,0,0,99,0,87,1,0,19,216,68,199,K
0,1,0,0,0,1,0,2,0,0,1,4,1,6,K
0,1,0,1,0,1,0,0,0,0,0,2,3,2,K
1,91,8,1,3,2,0,5,0,2,3,32,6,105,K
0,60,0,11,51,3,3,51,4,3,5,85,17,228,K
0,21,34,0,6,2,0,6,0,4,11,27,8,72,K
0,1,0,0,0,1,0,2,0,0,1,4,1,6,K
0,1,0,0,0,1,0,0,0,0,0,0,2,0,K
1,91,8,0,3,2,0,5,0,2,3,30,6,105,K
1,52,0,11,42,2,2,41,4,3,4,80,11,241,K
0,21,34,0,4,2,0,6,0,4,11,27,8,72,K
0,44,0,0,11,1,2,52,0,2,3,43,17,109,K
0,0,0,0,0,2,0,0,0,0,0,0,0,0,K
0,5,3,0,0,2,0,5,0,0,4,24,3,18,K
0,1,0,1,0,1,0,0,0,0,0,2,3,2,K
0,209,9,0,3,6,0,10,2,1,23,118,7,291,K
0,115,0,1,43,2,8,125,4,1,57,205,40,397,K
1,23,34,1,0,2,0,14,0,2,14,37,9,128,K
0,9,0,0,0,3,0,8,0,0,2,8,3,13,K
0,1,0,0,0,1,0,0,0,0,0,0,2,0,K
0,38,7,2,3,2,0,3,0,0,1,16,5,50,K
0,29,0,3,5,10,0,19,2,0,10,50,16,98,K
0,33,34,0,6,12,0,20,0,5,14,47,24,128,K
0,1,0,0,0,0,0,0,0,0,0,2,0,1,K
0,24,42,0,2,2,0,13,0,0,13,23,16,111,K
0,1,0,1,0,1,0,0,0,0,0,2,3,2,K
1,109,13,0,2,2,0,6,0,2,8,45,5,132,K
0,33,0,0,30,3,1,24,7,0,7,26,25,157,K
0,1,0,0,0,0,0,0,0,0,0,2,0,1,K
0,85,2,0,0,2,0,0,0,0,3,19,0,78,K
0,1,0,0,0,1,0,0,0,0,0,0,2,0,K
0,2,0,0,1,2,0,0,0,0,0,8,1,2,K
0,3,0,0,1,4,0,0,0,0,0,8,3,28,K
