"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,151,0,0,125,0,0,169,0,0,0,165,167,385,B
2,3,0,0,0,0,0,0,34,2,13,85,0,13,B
0,1,0,0,0,0,0,0,0,0,0,0,6,0,B
0,1,0,0,0,0,0,0,0,0,0,35,0,0,B
0,4,0,0,1,0,0,3,0,0,0,6,4,11,B
44,1,0,0,0,0,0,0,0,0,31,82,13,0,B
0,2,0,0,0,0,0,0,0,0,0,14,3,5,B
0,109,0,0,89,0,0,115,2,0,0,99,77,306,B
13,24,0,0,9,0,0,36,0,0,0,43,41,95,B
7,1,0,0,0,0,0,0,0,0,5,15,0,0,B
5,2,0,0,0,0,0,0,0,1,3,10,0,0,B
11,1,0,0,0,0,0,0,0,0,4,94,0,12,B
0,21,0,0,22,0,0,14,5,0,4,66,7,49,B
13,1,0,0,0,0,0,0,0,0,16,18,0,4,B
4,2,0,0,0,0,0,0,13,0,18,14,2,8,B
2,6,0,0,0,0,0,4,0,0,0,19,3,8,B
45,1,1,0,0,0,0,0,0,0,29,93,6,4,B
14,1,0,0,0,0,0,3,0,0,30,28,2,0,B
0,11,0,0,2,0,0,0,8,2,0,25,2,2,B
0,8,0,0,2,0,0,0,0,0,0,46,0,50,B
0,10,0,0,2,0,0,0,0,0,1,9,6,20,B
0,1,0,0,1,0,0,0,0,0,0,20,0,22,B
0,6,0,0,1,0,0,0,0,0,1,11,0,5,B
0,22,0,0,1,0,0,13,0,0,0,17,25,33,B
0,5,0,0,3,0,0,0,1,0,0,1,3,3,B
0,3,0,0,1,0,0,0,3,1,0,5,0,5,B
0,1,0,0,1,0,0,0,0,0,0,25,0,25,B
0,2,0,0,1,0,0,0,0,0,0,2,3,5,B
0,42,0,0,1,0,8,54,0,0,4,40,8,97,B
0,3,0,0,1,0,0,0,0,0,0,5,0,6,B
5,137,0,1,36,15,10,140,0,0,1,142,185,269,B
0,35,0,0,1,0,0,30,0,0,0,70,25,35,B
0,11,0,0,1,0,0,0,0,0,1,6,3,13,B
0,4,0,0,1,0,0,0,0,0,0,5,6,3,B
0,17,0,0,7,0,0,14,0,0,0,28,10,45,B
0,5,0,0,1,0,0,0,0,0,0,7,0,1,B
0,4,0,0,1,0,0,3,0,0,1,12,11,7,B
0,1,0,0,1,0,0,0,0,0,0,2,0,0,B
0,28,0,0,1,1,0,20,0,0,2,7,22,40,B
3,12,0,0,1,0,0,1,0,0,0,28,6,13,B
0,4,0,0,1,0,0,0,0,0,0,51,0,0,B
1,35,0,0,3,0,0,0,1,2,8,45,5,19,B
1,237,0,0,10,0,1,156,5,0,2,241,168,349,B
0,10,0,0,1,0,0,0,3,0,0,70,1,21,B
1,2,0,0,1,0,0,0,1,0,0,16,3,11,B
0,1,0,0,3,0,0,0,0,0,0,0,0,0,B
0,1,0,0,1,0,0,0,0,0,0,0,0,12,B
2,48,0,0,1,0,0,2,0,0,0,101,2,19,B
0,3,0,0,1,0,0,1,0,0,0,10,0,9,B
0,1,0,0,1,0,0,0,0,0,0,0,1,0,B
0,6,0,0,8,0,0,0,0,0,0,4,0,2,B
12,82,0,0,52,1,0,92,1,0,0,42,47,144,B
0,1,0,0,1,0,0,0,0,0,0,6,1,0,B
7,8,0,0,6,0,0,0,2,0,2,70,1,6,B
0,8,0,1,2,3,0,0,7,0,2,58,8,6,B
0,21,0,0,1,0,0,32,0,0,2,30,25,37,B
0,18,0,0,5,0,0,19,0,0,1,22,15,65,B
0,2,0,0,2,0,0,0,0,0,0,0,1,0,B
0,1,0,0,3,0,0,0,0,0,0,22,0,0,B
0,4,1,0,2,0,0,0,0,0,0,6,0,1,B
60,349,0,0,80,32,7,393,5,0,0,451,497,865,B
0,7,0,0,3,0,0,10,0,0,0,4,7,5,B
0,14,0,0,1,0,0,0,0,0,0,28,11,46,B
0,1,2,0,1,0,0,0,0,0,0,2,0,3,B
0,4,0,0,10,0,0,6,0,0,0,12,9,10,B
0,17,0,0,1,0,0,0,9,0,0,50,3,0,B
0,2,0,0,1,0,0,0,0,0,0,0,0,0,B
3,1,0,0,1,0,0,0,0,0,0,6,0,1,B
0,91,0,0,3,0,0,0,0,0,0,128,15,52,B
0,11,0,0,3,0,0,5,0,0,1,18,12,7,B
0,11,2,0,1,0,0,0,0,0,0,13,4,5,B
0,4,0,0,1,0,0,0,0,2,0,5,0,4,B
0,11,0,0,1,0,0,0,0,0,1,12,0,4,B
0,2,0,0,1,0,0,0,9,0,0,8,1,6,B
0,17,0,2,4,0,0,7,18,0,6,70,21,28,B
1,7,0,0,1,0,0,0,0,0,2,33,3,0,B
0,17,0,0,1,1,0,5,0,0,0,14,22,45,B
0,1,0,3,0,1,0,0,0,0,2,1,0,3,C
0,4,0,13,0,1,0,2,0,0,0,5,2,5,C
0,1,0,0,0,0,0,0,0,0,2,0,0,0,C
0,7,2,13,9,1,0,2,0,0,0,1,2,12,C
0,1,0,0,0,0,0,0,0,0,2,0,0,0,C
0,1,0,0,0,1,0,0,0,0,2,0,0,0,C
0,2,1,0,0,0,0,3,1,0,2,1,0,14,C
0,2,0,18,1,1,0,3,1,0,0,1,2,14,C
0,2,0,7,0,0,0,1,0,0,2,3,0,8,C
0,0,1,2,0,1,0,0,0,0,2,1,0,4,C
0,1,1,3,0,1,0,1,1,0,2,2,0,8,C
0,1,1,0,0,0,0,1,0,0,2,0,0,3,C
0,2,0,5,0,0,0,1,0,0,3,1,0,6,C
0,4,1,0,0,1,0,4,0,0,2,1,1,12,C
0,0,1,2,4,1,0,4,0,0,0,2,5,6,C
0,0,6,18,0,1,0,0,0,0,3,4,0,10,C
0,0,6,20,0,1,0,0,0,0,3,5,0,9,C
0,0,1,7,0,1,0,4,0,0,0,3,2,7,C
0,0,1,7,0,1,0,4,0,0,0,3,2,7,C
0,1,0,0,0,1,0,0,0,0,2,0,0,0,C
0,1,4,27,1,1,0,7,1,0,0,1,2,22,C
0,0,2,0,0,0,0,0,0,0,0,3,2,6,C
0,4,1,6,4,1,0,4,0,0,2,1,1,12,C
0,4,1,0,0,1,0,4,0,0,2,1,1,12,C
0,5,0,0,0,1,0,4,0,0,3,1,0,10,C
0,4,1,0,0,1,0,4,0,0,2,1,1,12,C
0,1,2,2,0,1,0,2,0,0,2,1,0,4,C
0,1,1,0,0,1,0,2,0,0,0,0,2,5,C
0,4,2,7,0,0,0,4,0,0,0,2,4,14,C
0,0,3,0,0,0,0,2,0,0,0,1,3,4,C
0,2,1,3,2,1,0,2,0,0,0,1,2,5,C
0,2,0,10,0,1,0,1,0,0,2,1,1,2,C
0,3,2,12,3,1,0,4,0,0,0,3,2,5,C
0,0,2,0,0,1,0,1,0,0,2,1,0,2,C
0,0,1,5,1,1,0,0,0,0,0,1,2,3,C
0,0,1,1,0,1,0,3,0,0,3,1,0,8,C
0,0,3,4,0,0,0,2,0,0,2,3,0,4,C
0,0,1,5,0,1,0,0,0,0,2,1,0,0,C
0,1,1,4,0,2,0,1,0,0,2,3,0,1,C
0,0,1,7,1,1,0,0,2,0,1,3,2,6,C
0,0,1,4,0,1,0,0,0,0,8,2,0,8,C
0,2,0,1,0,1,0,1,0,0,2,2,0,5,C
0,0,1,0,0,1,0,0,3,0,2,2,0,33,C
0,1,2,3,0,2,0,2,0,0,2,3,0,4,C
0,1,4,1,0,1,0,4,0,0,2,6,0,7,C
0,5,0,2,1,1,0,0,0,0,2,8,0,11,C
0,0,18,0,0,2,0,5,0,0,2,9,1,25,C
0,0,1,7,1,1,0,0,0,0,0,1,2,5,C
0,0,1,0,0,1,0,1,0,0,0,1,2,2,C
0,0,2,6,5,1,0,3,1,0,3,1,0,12,C
0,0,1,1,0,1,0,0,0,0,2,0,0,0,C
0,0,1,0,0,1,0,0,3,0,2,2,0,33,C
0,2,1,4,0,1,1,1,0,0,7,0,0,3,C
0,4,2,7,0,2,1,2,0,0,11,1,0,7,C
0,2,0,6,0,1,0,1,0,0,2,1,0,2,C
0,2,0,5,0,1,0,1,0,0,4,1,1,0,C
0,0,1,0,2,1,0,0,0,0,2,2,0,4,C
0,3,2,0,0,1,0,3,0,0,2,1,0,13,C
0,2,6,0,0,1,0,4,0,0,2,1,0,17,C
0,2,0,0,0,1,0,1,0,0,2,1,0,3,C
0,1,0,4,1,1,0,0,0,0,2,2,0,6,C
